% column syntax: rat, electrode, brain region, brain side
% region syntax: 0 = undefined mPFC, 1 = vmPFC, 2 = dmPFC, 3 = dHPC, 4 = vHPC, 5 = AMY, 7 = REU, 8 = TH
% side syntax:, 1 = left, 2 = right
% to read this file on MATLAB: readmatrix(file_path,FileType='text');
003,1,7,1
003,2,7,1
003,3,1,2
003,4,1,2
003,5,3,2
003,6,3,2
003,7,3,2
003,8,3,2
004,1,7,1
004,2,7,1
004,3,1,2
004,4,1,2
004,5,3,2
004,6,3,2
004,7,3,2
004,8,3,2
362,1,1,2
362,2,2,1
362,3,1,1
362,4,2,1
362,5,2,1
362,6,2,1
362,7,1,1
362,8,1,1
362,9,1,1
362,10,2,2
362,11,1,2
362,12,1,2
362,13,2,2
362,14,2,2
362,15,1,2
362,16,1,2
362,17,4,2
362,18,4,2
362,19,3,2
362,20,3,2
362,21,3,1
362,22,3,1
362,23,4,1
362,24,4,1
370,1,1,1
370,2,1,1
370,3,2,1
370,4,2,1
370,5,2,2
370,6,1,2
370,7,1,2
370,8,2,2
370,9,2,1
370,10,2,1
370,11,1,1
370,12,1,1
370,13,1,2
370,14,2,2
370,15,1,2
370,16,2,2
370,17,4,1
370,18,4,1
370,19,3,1
370,20,3,1
370,21,3,2
370,22,3,2
370,23,4,2
370,24,4,2
386,1,1,1
386,2,2,1
386,3,2,1
386,4,1,1
386,5,1,2
386,6,2,2
386,7,2,2
386,8,1,2
386,9,2,1
386,10,1,1
386,11,1,1
386,12,2,1
386,13,2,2
386,14,1,2
386,15,1,2
386,16,2,2
386,17,5,1
386,18,5,1
386,19,5,1
386,20,5,1
386,21,5,2
386,22,5,2
386,23,5,2
386,24,5,2
386,25,4,1
386,26,4,1
386,27,3,1
386,28,3,1
386,29,3,2
386,30,3,2
386,31,4,2
386,32,4,2
392,1,0,1
392,2,0,1
392,3,0,1
392,4,1,1
392,5,1,2
392,6,0,2
392,7,0,2
392,8,0,2
392,9,2,1
392,10,2,1
392,11,1,1
392,12,1,1
392,13,2,2
392,14,1,2
392,15,1,2
392,16,2,2
392,17,4,1
392,18,3,1
392,19,3,1
392,20,5,1
392,21,5,1
392,22,5,2
392,23,5,2
392,24,4,2
392,25,4,2
392,26,4,2
392,27,4,1
392,28,4,1
392,29,3,2
392,30,3,1
392,31,3,2
392,32,3,2
392,33,3,2
392,34,4,2
399,1,1,2
399,2,1,2
399,3,2,2
399,4,1,2
399,5,0,2
399,6,1,2
399,7,1,2
399,8,2,2
399,9,2,2
399,10,2,2
399,11,2,1
399,12,2,1
399,13,0,1
399,14,1,1
399,15,1,1
399,16,1,1
399,17,0,1
399,18,1,1
399,19,0,1
399,20,2,1
399,21,1,1
399,22,4,1
399,23,5,1
399,24,5,1
399,25,3,1
399,26,3,1
399,27,6,2
399,28,6,1
399,29,3,2
399,30,3,2
399,31,4,2
399,32,5,2
399,33,5,2
399,34,4,2
399,35,4,1
399,36,4,1
399,37,4,1
399,38,3,1
399,39,3,1
399,40,3,2
399,41,3,2
399,42,4,2
401,1,2,1
401,2,1,1
401,3,2,1
401,4,2,1
401,5,1,1
401,6,1,1
401,7,1,1
401,8,2,1
401,9,2,1
401,10,1,1
401,11,1,1
401,12,0,0
401,13,0,0
401,14,0,0
401,15,0,0
401,16,0,0
401,17,1,2
401,18,1,2
401,19,2,2
401,20,0,2
401,21,2,2
401,22,4,1
401,23,3,1
401,24,3,1
401,25,5,1
401,26,5,1
401,27,6,1
401,28,6,2
401,29,5,2
401,30,5,2
401,31,3,2
401,32,3,2
401,33,4,2
401,34,4,1
401,35,4,1
401,36,4,1
401,37,3,1
401,38,3,1
401,39,3,2
401,40,3,2
401,41,4,2
401,42,4,2
